0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	2863
16	3984
17	4362
18	4343
19	4366
20	4423
21	4676
22	4703
23	5083
24	5886
25	9128
26	18104
27	33180
28	36117
29	24226
30	14340
31	9840
32	6718
33	5067
34	4789
35	4724
36	4829
37	4751
38	4987
39	5176
40	5253
41	5297
42	5461
43	5550
44	5662
45	5706
46	5777
47	5874
48	5838
49	6040
50	6066
51	6145
52	6204
53	6362
54	6367
55	6307
56	6299
57	6345
58	6241
59	6225
60	6023
61	6261
62	6176
63	6062
64	6046
65	6017
66	5945
67	5935
68	5850
69	5861
70	5805
71	5844
72	5792
73	5876
74	5606
75	5708
76	5792
77	5661
78	5647
79	5635
80	5882
81	5580
82	5660
83	5588
84	5459
85	5422
86	5414
87	5312
88	5373
89	5439
90	5294
91	5264
92	5186
93	5177
94	5028
95	5226
96	5236
97	5219
98	5072
99	5100
100	5218
101	5207
102	5082
103	5184
104	4888
105	5218
106	5341
107	5330
108	5493
109	5815
110	5725
111	5963
112	6099
113	6110
114	6272
115	6296
116	6459
117	6400
118	6382
119	6270
120	6442
121	6312
122	6302
123	6380
124	6163
125	6181
126	6116
127	6034
128	5874
129	5750
130	5667
131	5785
132	5755
133	5663
134	5547
135	5580
136	5566
137	5508
138	5431
139	5408
140	5353
141	5200
142	5102
143	5098
144	5053
145	5010
146	4911
147	4830
148	4765
149	4772
150	4737
151	4724
152	4711
153	4611
154	4550
155	4559
156	4557
157	4517
158	4408
159	4435
160	4368
161	4373
162	4545
163	4295
164	4288
165	4381
166	4237
167	4242
168	4232
169	4244
170	4172
171	4066
172	4075
173	4109
174	4189
175	4111
176	4057
177	3952
178	3892
179	4015
180	3910
181	3915
182	3918
183	4025
184	3960
185	3919
186	3833
187	3875
188	4020
189	3895
190	3874
191	3868
192	3809
193	3972
194	3785
195	3942
196	3840
197	3771
198	3866
199	3852
200	3699
201	3710
202	3745
203	3642
204	3729
205	3597
206	3651
207	3621
208	3700
209	3772
210	3680
211	3593
212	3561
213	3644
214	3636
215	3519
216	3579
217	3479
218	3645
219	3646
220	3712
221	3711
222	3776
223	3654
224	3719
225	3778
226	3606
227	3710
228	3663
229	3706
230	3758
231	3735
232	3790
233	3858
234	3916
235	3738
236	3768
237	3923
238	3909
239	3983
240	3958
241	3973
242	3979
243	3963
244	4003
245	3860
246	3811
247	3934
248	3848
249	3633
250	3615
251	3521
252	3384
253	3278
254	3121
255	3108
256	2915
257	2756
258	2462
259	2388
260	2257
261	2083
262	2031
263	1934
264	1735
265	1654
266	1623
267	1458
268	1428
269	1355
270	1356
271	1236
272	1221
273	1133
274	1139
275	1124
276	1023
277	1015
278	1017
279	930
280	901
281	898
282	875
283	828
284	777
285	776
286	740
287	769
288	748
289	678
290	705
291	688
292	667
293	628
294	615
295	587
296	608
297	613
298	537
299	582
300	519
301	492
302	570
303	535
304	555
305	570
306	531
307	539
308	533
309	510
310	568
311	606
312	551
313	555
314	530
315	602
316	582
317	607
318	564
319	634
320	626
321	595
322	658
323	690
324	791
325	837
326	933
327	1074
328	1264
329	1480
330	1781
331	2166
332	2574
333	3173
334	3724
335	4526
336	5588
337	6452
338	7765
339	8970
340	10667
341	12003
342	14123
343	15741
344	18120
345	20466
346	22817
347	25023
348	27481
349	29783
350	32090
351	33789
352	35815
353	37483
354	38340
355	39487
356	39285
357	39417
358	38919
359	38088
360	36444
361	34559
362	32706
363	30663
364	28024
365	25312
366	22868
367	20442
368	17805
369	15515
370	13277
371	11126
372	9265
373	7671
374	6234
375	5002
376	3892
377	3194
378	2453
379	1919
380	1417
381	1081
382	864
383	590
384	433
385	369
386	293
387	219
388	180
389	175
390	155
391	119
392	105
393	115
394	98
395	100
396	98
397	102
398	98
399	92
400	89
401	94
402	112
403	87
404	94
405	75
406	96
407	87
408	88
409	91
410	103
411	99
412	76
413	99
414	115
415	96
416	82
417	96
418	85
419	78
420	100
421	100
422	65
423	92
424	93
425	76
426	77
427	70
428	97
429	82
430	67
431	61
432	76
433	75
434	89
435	64
436	83
437	88
438	94
439	84
440	75
441	74
442	85
443	69
444	79
445	87
446	65
447	77
448	87
449	66
450	59
451	63
452	72
453	73
