0.000000000000000000e+00 4.528234506122893466e-01
1.000000000000000000e+00 2.830288448551325331e+00
2.000000000000000000e+00 3.413994975051029890e+00
3.000000000000000000e+00 8.089790169234330364e+00
4.000000000000000000e+00 1.052604307150462759e+01
5.000000000000000000e+00 1.455093225428366210e+01
6.000000000000000000e+00 1.444534508406163198e+01
7.000000000000000000e+00 1.409360093400807123e+01
8.000000000000000000e+00 1.416904445308446014e+01
9.000000000000000000e+00 1.993007335733245000e+01
1.000000000000000000e+01 2.118746995882311523e+01
